O ***next*** O ***next*** O  ***next*** O ***next*** O ***next*** O ***next*** O O O O  ***next*** 
O ***next*** O ***next*** O  ***next*** O ***next*** O ***next*** O O O O  ***next*** O O O O O O O  ***next*** 
O O  ***next*** O O O  ***next*** O O O O O O O O  ***next*** O ***next*** O O O O  ***next*** O O O O O O O  ***next*** O  ***next*** 
O O  ***next*** O O O O O O  ***next*** O O O O O B-FOOD-NONE-NONE-MAIN O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O O O O  ***next*** O O O O O O O O O O O O O O O  ***next*** O O O O O O O O O B-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE  ***next*** O O O O O O O  ***next*** O O O O B-FOOD-NONE-NONE-MAIN I-FOOD-NONE-NONE-MAIN O O O O O O O O  ***next*** 
O O O O O O  ***next*** O O O O O B-FOOD-NONE-NONE-MAIN O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O O O O  ***next*** O  ***next*** O O O O O O O O O B-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE I-TIME-NONE-NONE-DATE  ***next*** O O O O O O O  ***next*** O O O O B-FOOD-NONE-NONE-MAIN I-FOOD-NONE-NONE-MAIN O O O O O O O O  ***next*** O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O B-FOOD-NONE-NONE-MAIN I-FOOD-NONE-NONE-MAIN O O O  ***next*** 
O  ***next*** O O O O O B-FOOD-NONE-NONE-MAIN I-FOOD-NONE-NONE-MAIN O O O B-LOC-NONE-NONE-RESTAURANT I-LOC-NONE-NONE-RESTAURANT I-LOC-NONE-NONE-RESTAURANT I-LOC-NONE-NONE-RESTAURANT O  ***next*** O O O O O O O  ***next*** O O O O O O O  ***next*** O O O O B-FOOD-NONE-NONE-MAIN I-FOOD-NONE-NONE-MAIN O O O O O O O O  ***next*** O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O B-FOOD-NONE-NONE-MAIN I-FOOD-NONE-NONE-MAIN O O O  ***next*** O O O O O O  ***next*** 
O  ***next*** O O O O O B-FOOD-NONE-NONE-MAIN I-FOOD-NONE-NONE-MAIN O O O B-LOC-NONE-NONE-RESTAURANT I-LOC-NONE-NONE-RESTAURANT I-LOC-NONE-NONE-RESTAURANT I-LOC-NONE-NONE-RESTAURANT O  ***next*** O O O O O O O  ***next*** O O O O B-FOOD-NONE-NONE-MAIN I-FOOD-NONE-NONE-MAIN O O O O O O O O  ***next*** O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O B-FOOD-NONE-NONE-MAIN I-FOOD-NONE-NONE-MAIN O O O  ***next*** O O O O O O  ***next*** O O O O O O O O O O O O O O  ***next*** 
O O O O O O O  ***next*** O  ***next*** O O O O O O O B-AREA-NONE-NONE-COUNTRY I-AREA-NONE-NONE-COUNTRY O O O O O O O O  ***next*** O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O B-FOOD-NONE-NONE-MAIN I-FOOD-NONE-NONE-MAIN O O O  ***next*** O O O O O O  ***next*** O O O O O O O O O O O O O O  ***next*** O  ***next*** 
O O O O O O O  ***next*** O  ***next*** O O O O O O O B-AREA-NONE-NONE-COUNTRY I-AREA-NONE-NONE-COUNTRY O O O O O O O O  ***next*** O O O O O O  ***next*** O O O O O O O O O O O O O O  ***next*** O  ***next*** O O O O O O O O  ***next*** 
O O O O O O O  ***next*** O  ***next*** O O O O O O O B-AREA-NONE-NONE-COUNTRY I-AREA-NONE-NONE-COUNTRY O O O O O O O O  ***next*** O O O O O O O O O O O O O O  ***next*** O  ***next*** O O O O O O O O  ***next*** O O O O O O O O  ***next*** 
O O O O O O O O O O  ***next*** O O O O O O  ***next*** O  ***next*** O  ***next*** O O O O O O O O  ***next*** O O O O O O O O  ***next*** O O O O O O O O O O O O  ***next*** 
O O O O O O O O O O  ***next*** O O O O O O  ***next*** O  ***next*** O O O O O O O O  ***next*** O O O O O O O O  ***next*** O O O O O O O O O O O O  ***next*** O O O O O O O O  ***next*** 
O O O O O O O O O O  ***next*** O O O O O O  ***next*** O  ***next*** O O O O O O O O  ***next*** O O O O O O O O O O O O  ***next*** O O O O O O O O  ***next*** O O O O O O O O O O O O O O O O  ***next*** 
O O O  ***next*** O O  ***next*** O O O O B-AREA-NONE-NONE-CITY O O O O O O O  ***next*** O O O O O O O O O O O O  ***next*** O O O O O O O O  ***next*** O O O O O O O O O O O O O O O O  ***next*** O O O O O O O  ***next*** 
O O O  ***next*** O O  ***next*** O O O O B-AREA-NONE-NONE-CITY O O O O O O O  ***next*** O O O O O O O O  ***next*** O O O O O O O O O O O O O O O O  ***next*** O O O O O O O  ***next*** O O O O O O O  ***next*** 
O O O  ***next*** O O  ***next*** O O O O B-AREA-NONE-NONE-CITY O O O O O O O  ***next*** O O O O O O O O O O O O O O O O  ***next*** O O O O O O O  ***next*** O O O O O O O  ***next*** O O O O O O O O O O O O O O  ***next*** 
O O O O  ***next*** O  ***next*** O O O O O O O O O  ***next*** O O O O O O O  ***next*** O O O O O O O  ***next*** O O O O O O O O O O O O O O  ***next*** O  ***next*** 
O O O O O O O O O  ***next*** O O O O O B-LOC-TO-NONE-WATERSIDE I-LOC-TO-NONE-WATERSIDE  ***next*** O  ***next*** O O O O O O O  ***next*** O O O O O O O O O O O O O O  ***next*** O  ***next*** O  ***next*** 
O O O O O B-LOC-TO-NONE-WATERSIDE I-LOC-TO-NONE-WATERSIDE  ***next*** O  ***next*** O O  ***next*** O O O O O O O O O O O O O O  ***next*** O  ***next*** O  ***next*** O O O O O B-LOC-TO-NONE-WATERSIDE I-LOC-TO-NONE-WATERSIDE  ***next*** 
O  ***next*** O O  ***next*** O O O O O O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE B-AREA-NONE-NONE-COUNTRY I-AREA-NONE-NONE-COUNTRY O  ***next*** O  ***next*** O  ***next*** O O O O O B-LOC-TO-NONE-WATERSIDE I-LOC-TO-NONE-WATERSIDE  ***next*** O O O O O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE O B-LOC-NONE-NONE-ATTRACTION O  ***next*** 
O O  ***next*** O O O O O O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE B-AREA-NONE-NONE-COUNTRY I-AREA-NONE-NONE-COUNTRY O  ***next*** B-LOC-NONE-NONE-ATTRACTION  ***next*** O  ***next*** O O O O O B-LOC-TO-NONE-WATERSIDE I-LOC-TO-NONE-WATERSIDE  ***next*** O O O O O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE O B-LOC-NONE-NONE-ATTRACTION O  ***next*** O O O B-LOC-NONE-NONE-ATTRACTION  ***next*** 
O O O O O O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE B-AREA-NONE-NONE-COUNTRY I-AREA-NONE-NONE-COUNTRY O  ***next*** B-LOC-NONE-NONE-ATTRACTION  ***next*** O  ***next*** O O O O O B-LOC-TO-NONE-WATERSIDE I-LOC-TO-NONE-WATERSIDE  ***next*** O O O O O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE O B-LOC-NONE-NONE-ATTRACTION O  ***next*** O O O B-LOC-NONE-NONE-ATTRACTION  ***next*** O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE O O O O O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE O  ***next*** 
B-LOC-NONE-NONE-ATTRACTION  ***next*** O  ***next*** O  ***next*** O O O O O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE O B-LOC-NONE-NONE-ATTRACTION O  ***next*** O O O B-LOC-NONE-NONE-ATTRACTION  ***next*** O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE O O O O O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE O  ***next*** B-LOC-NONE-NONE-WATERSIDE O O O O O  ***next*** 
B-LOC-NONE-NONE-ATTRACTION  ***next*** O  ***next*** O  ***next*** O O O B-LOC-NONE-NONE-ATTRACTION  ***next*** O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE O O O O O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE O  ***next*** B-LOC-NONE-NONE-WATERSIDE O O O O O  ***next*** B-LOC-NONE-NONE-WATERSIDE O O O O O  ***next*** 
B-LOC-NONE-NONE-WATERSIDE  ***next*** O O  ***next*** O B-TIME-NONE-NONE-MAIN I-TIME-NONE-NONE-MAIN O  ***next*** O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE O O O O O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE O  ***next*** B-LOC-NONE-NONE-WATERSIDE O O O O O  ***next*** B-LOC-NONE-NONE-WATERSIDE O O O O O  ***next*** O O  ***next*** 
B-LOC-NONE-NONE-WATERSIDE  ***next*** O O  ***next*** O B-TIME-NONE-NONE-MAIN I-TIME-NONE-NONE-MAIN O  ***next*** B-LOC-NONE-NONE-WATERSIDE O O O O O  ***next*** B-LOC-NONE-NONE-WATERSIDE O O O O O  ***next*** O O  ***next*** O O O  ***next*** 
B-LOC-NONE-NONE-WATERSIDE  ***next*** O O  ***next*** O B-TIME-NONE-NONE-MAIN I-TIME-NONE-NONE-MAIN O  ***next*** B-LOC-NONE-NONE-WATERSIDE O O O O O  ***next*** O O  ***next*** O O O  ***next*** O O O O O O O O O  ***next*** 
B-LOC-NONE-NONE-WATERSIDE  ***next*** O O  ***next*** O B-TIME-NONE-NONE-MAIN I-TIME-NONE-NONE-MAIN O  ***next*** O O  ***next*** O O O  ***next*** O O O O O O O O O  ***next*** O O O O O O O O O O O O O O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE  ***next*** 
B-LOC-NONE-NONE-WATERSIDE  ***next*** O O  ***next*** O B-TIME-NONE-NONE-MAIN I-TIME-NONE-NONE-MAIN O  ***next*** O O O  ***next*** O O O O O O O O O  ***next*** O O O O O O O O O O O O O O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE  ***next*** O O O  ***next*** 
B-LOC-NONE-NONE-WATERSIDE  ***next*** O O  ***next*** O B-TIME-NONE-NONE-MAIN I-TIME-NONE-NONE-MAIN O  ***next*** O O O O O O O O O  ***next*** O O O O O O O O O O O O O O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE  ***next*** O O O  ***next*** O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O O O O O O O O O  ***next*** 
B-LOC-NONE-NONE-WATERSIDE  ***next*** O O  ***next*** O B-TIME-NONE-NONE-MAIN I-TIME-NONE-NONE-MAIN O  ***next*** O O O O O O O O O O O O O O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE  ***next*** O O O  ***next*** O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O O O O O O O O O  ***next*** O O  ***next*** 
O B-TIME-NONE-NONE-MAIN I-TIME-NONE-NONE-MAIN O  ***next*** O  ***next*** O O O O O O  ***next*** O O O  ***next*** O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O O O O O O O O O  ***next*** O O  ***next*** O  ***next*** 
O  ***next*** O O O O O O  ***next*** O O B-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE  ***next*** O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O O O O O O O O O  ***next*** O O  ***next*** O  ***next*** O O O  ***next*** 
O  ***next*** O O O O O O  ***next*** O O B-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE  ***next*** O O  ***next*** O  ***next*** O O O  ***next*** O O O  ***next*** 
O  ***next*** O O O O O O  ***next*** O O B-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE  ***next*** O  ***next*** O O O  ***next*** O O O  ***next*** O O O O  ***next*** 
O  ***next*** O O O O O O  ***next*** O O B-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE  ***next*** O O O  ***next*** O O O  ***next*** O O O O  ***next*** O O O  ***next*** 
O O B-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE  ***next*** O O O B-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE O O  ***next*** O O O B-LOC-NONE-NONE-WATERSIDE  ***next*** O O O  ***next*** O O O O  ***next*** O O O  ***next*** O O O O B-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE  ***next*** 
O O B-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE  ***next*** O O O B-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE O O  ***next*** O O O B-LOC-NONE-NONE-WATERSIDE  ***next*** O O O O  ***next*** O O O  ***next*** O O O O B-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE  ***next*** O O O O O O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL  ***next*** 
O O B-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE  ***next*** O O O B-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE O O  ***next*** O O O B-LOC-NONE-NONE-WATERSIDE  ***next*** O O O  ***next*** O O O O B-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE  ***next*** O O O O O O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL  ***next*** O O B-TRSP-NONE-NONE-TYPE  ***next*** 
O O B-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE  ***next*** O O O B-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE O O  ***next*** O O O B-LOC-NONE-NONE-WATERSIDE  ***next*** O O O O B-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE  ***next*** O O O O O O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL  ***next*** O O B-TRSP-NONE-NONE-TYPE  ***next*** O B-LOC-NONE-NONE-RESTAURANT B-LOC-NONE-NONE-WATERSIDE  ***next*** 
O O B-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE  ***next*** O O O B-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE O O  ***next*** O O O B-LOC-NONE-NONE-WATERSIDE  ***next*** O O O O O O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL  ***next*** O O B-TRSP-NONE-NONE-TYPE  ***next*** O B-LOC-NONE-NONE-RESTAURANT B-LOC-NONE-NONE-WATERSIDE  ***next*** O O O O O O O O O O O O O O B-LOC-NONE-NONE-SHOP I-LOC-NONE-NONE-SHOP O B-LOC-NONE-NONE-SHOP I-LOC-NONE-NONE-SHOP I-LOC-NONE-NONE-SHOP I-LOC-NONE-NONE-SHOP B-DET-NONE-NONE-PRICE I-DET-NONE-NONE-PRICE O O O O  ***next*** 
O O O B-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE O O  ***next*** O O O B-LOC-NONE-NONE-WATERSIDE  ***next*** O O O O O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O O B-LOC-NONE-NONE-WATERSIDE O  ***next*** O O B-TRSP-NONE-NONE-TYPE  ***next*** O B-LOC-NONE-NONE-RESTAURANT B-LOC-NONE-NONE-WATERSIDE  ***next*** O O O O O O O O O O O O O O B-LOC-NONE-NONE-SHOP I-LOC-NONE-NONE-SHOP O B-LOC-NONE-NONE-SHOP I-LOC-NONE-NONE-SHOP I-LOC-NONE-NONE-SHOP I-LOC-NONE-NONE-SHOP B-DET-NONE-NONE-PRICE I-DET-NONE-NONE-PRICE O O O O  ***next*** B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O B-FEE-NONE-NONE-ATTRACTION I-FEE-NONE-NONE-ATTRACTION O O O  ***next*** 
O O O B-LOC-NONE-NONE-WATERSIDE  ***next*** O O O O O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O O B-LOC-NONE-NONE-WATERSIDE O  ***next*** O  ***next*** O B-LOC-NONE-NONE-RESTAURANT B-LOC-NONE-NONE-WATERSIDE  ***next*** O O O O O O O O O O O O O O B-LOC-NONE-NONE-SHOP I-LOC-NONE-NONE-SHOP O B-LOC-NONE-NONE-SHOP I-LOC-NONE-NONE-SHOP I-LOC-NONE-NONE-SHOP I-LOC-NONE-NONE-SHOP B-DET-NONE-NONE-PRICE I-DET-NONE-NONE-PRICE O O O O  ***next*** B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O B-FEE-NONE-NONE-ATTRACTION I-FEE-NONE-NONE-ATTRACTION O O O  ***next*** O B-FEE-NONE-NONE-SERVICES I-FEE-NONE-NONE-SERVICES B-TRSP-NONE-NONE-TYPE I-TRSP-NONE-NONE-TYPE O  ***next*** 
O O O O O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O O B-LOC-NONE-NONE-WATERSIDE O  ***next*** O  ***next*** O O O B-FEE-NONE-NONE-ATTRACTION I-FEE-NONE-NONE-ATTRACTION  ***next*** O O O O O O O O O O O O O O B-LOC-NONE-NONE-SHOP I-LOC-NONE-NONE-SHOP O B-LOC-NONE-NONE-SHOP I-LOC-NONE-NONE-SHOP I-LOC-NONE-NONE-SHOP I-LOC-NONE-NONE-SHOP B-DET-NONE-NONE-PRICE I-DET-NONE-NONE-PRICE O O O O  ***next*** B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O B-FEE-NONE-NONE-ATTRACTION I-FEE-NONE-NONE-ATTRACTION O O O  ***next*** O B-FEE-NONE-NONE-SERVICES I-FEE-NONE-NONE-SERVICES B-TRSP-NONE-NONE-TYPE I-TRSP-NONE-NONE-TYPE O  ***next*** O  ***next*** 
O O O O O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O O B-LOC-NONE-NONE-WATERSIDE O  ***next*** O  ***next*** O O O B-FEE-NONE-NONE-ATTRACTION I-FEE-NONE-NONE-ATTRACTION  ***next*** B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O B-FEE-NONE-NONE-ATTRACTION I-FEE-NONE-NONE-ATTRACTION O O O  ***next*** O B-FEE-NONE-NONE-SERVICES I-FEE-NONE-NONE-SERVICES B-TRSP-NONE-NONE-TYPE I-TRSP-NONE-NONE-TYPE O  ***next*** O  ***next*** O B-FEE-NONE-NONE-SERVICES I-FEE-NONE-NONE-SERVICES O O O B-TRSP-NONE-NONE-TYPE I-TRSP-NONE-NONE-TYPE O O O O O O O O O O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O O O O  ***next*** 
O O O B-FEE-NONE-NONE-ATTRACTION I-FEE-NONE-NONE-ATTRACTION  ***next*** O O  ***next*** O  ***next*** O B-FEE-NONE-NONE-SERVICES I-FEE-NONE-NONE-SERVICES B-TRSP-NONE-NONE-TYPE I-TRSP-NONE-NONE-TYPE O  ***next*** O  ***next*** O B-FEE-NONE-NONE-SERVICES I-FEE-NONE-NONE-SERVICES O O O B-TRSP-NONE-NONE-TYPE I-TRSP-NONE-NONE-TYPE O O O O O O O O O O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O O O O  ***next*** O O O O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE O O  ***next*** 
O O  ***next*** O  ***next*** O O O O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE O O  ***next*** O  ***next*** O B-FEE-NONE-NONE-SERVICES I-FEE-NONE-NONE-SERVICES O O O B-TRSP-NONE-NONE-TYPE I-TRSP-NONE-NONE-TYPE O O O O O O O O O O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O O O O  ***next*** O O O O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE O O  ***next*** O O O O  ***next*** 
O O O O O O O  ***next*** O  ***next*** O O O O O  ***next*** O B-FEE-NONE-NONE-SERVICES I-FEE-NONE-NONE-SERVICES O O O B-TRSP-NONE-NONE-TYPE I-TRSP-NONE-NONE-TYPE O O O O O O O O O O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O O O O  ***next*** O O O O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE O O  ***next*** O O O O  ***next*** O  ***next*** 
O O O O O O O  ***next*** O  ***next*** O O O O O  ***next*** O O O O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE O O  ***next*** O O O O  ***next*** O  ***next*** O O O O O  ***next*** 
O O O O O O O  ***next*** O  ***next*** O O O O O  ***next*** O O O O  ***next*** O  ***next*** O O O O O  ***next*** O O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN O O O O O O  ***next*** 
O  ***next*** O O O O O  ***next*** O  ***next*** O  ***next*** O O O O O  ***next*** O O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN O O O O O O  ***next*** O O O O O O B-LOC-NONE-NONE-RESTAURANT I-LOC-NONE-NONE-RESTAURANT O  ***next*** 
O O O O O  ***next*** O  ***next*** O O O O O O O O  ***next*** O O O O O  ***next*** O O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN O O O O O O  ***next*** O O O O O O B-LOC-NONE-NONE-RESTAURANT I-LOC-NONE-NONE-RESTAURANT O  ***next*** O O O  ***next*** 
O O O O O  ***next*** O  ***next*** O O O O O O O O  ***next*** O O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN O O O O O O  ***next*** O O O O O O B-LOC-NONE-NONE-RESTAURANT I-LOC-NONE-NONE-RESTAURANT O  ***next*** O O O  ***next*** O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** 
O O O O O  ***next*** O  ***next*** O O O O O O O O  ***next*** O O O O O O B-LOC-NONE-NONE-RESTAURANT I-LOC-NONE-NONE-RESTAURANT O  ***next*** O O O  ***next*** O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** 
O O O O O  ***next*** O  ***next*** O O O O O O O O  ***next*** O O O  ***next*** O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** O O O O O O O O O O O  ***next*** 
O O O O O  ***next*** O  ***next*** O O O O O O O O  ***next*** O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** O O O O O O O O O O O  ***next*** O O O O O O O O O O O  ***next*** 
O  ***next*** O O O O O O O O  ***next*** O O O O O O B-LOC-NONE-NONE-ATTRACTION O O O  ***next*** O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** O O O O O O O O O O O  ***next*** O O O O O O O O O O O  ***next*** O O O B-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL O  ***next*** 
O  ***next*** O O O O O O O O  ***next*** O O O O O O B-LOC-NONE-NONE-ATTRACTION O O O  ***next*** O O O O O O O O O O O  ***next*** O O O O O O O O O O O  ***next*** O O O B-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL O  ***next*** O O O B-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL O B-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL O O  ***next*** 
O O O O O O O O  ***next*** O O O O O O B-LOC-NONE-NONE-ATTRACTION O O O  ***next*** O  ***next*** O O O O O O O O O O O  ***next*** O O O B-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL O  ***next*** O O O B-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL O B-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL O O  ***next*** B-TIME-NONE-NONE-INTERVAL  ***next*** 
O O O O O O O O  ***next*** O O B-TIME-NONE-NONE-INTERVAL B-LOC-NONE-NONE-HOTEL  ***next*** O O O O O O  ***next*** O O O B-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL O  ***next*** O O O B-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL O B-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL O O  ***next*** B-TIME-NONE-NONE-INTERVAL  ***next*** O O O O O O B-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL  ***next*** 
O O B-TIME-NONE-NONE-INTERVAL B-LOC-NONE-NONE-HOTEL  ***next*** O O O O O O  ***next*** O  ***next*** O O O B-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL O B-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL O O  ***next*** B-TIME-NONE-NONE-INTERVAL  ***next*** O O O O O O B-LOC-NONE-NONE-HOTEL I-LOC-NONE-NONE-HOTEL  ***next*** O O O O O O O O O  ***next*** 
